show_id;show_url;title;poster_url;rating;year;tags;duration_minutes;summary;director;starring;platforms
2699658;https://www.movieofthenight.com/show/2699658;Anatomy of a Fall;https://image.tmdb.org/t/p/w1280/kszooR7v1TLFM4pzx6IkKq2jDAN.jpg;7,5;2023;Crime, Mystery;151;;Justine Triet;Sandra Hüller, Swann Arlaud, Milo Machado-Graner, Antoine Reinartz, Samuel Theis, Jehnny Beth, Saadia Bentaïeb;Prime Video
2608;https://www.movieofthenight.com/show/2608;La Haine;https://image.tmdb.org/t/p/w1280/k61xLJgPo7ScxHLLiBzTM9IDaB7.jpg;8;1995;Crime, Drama;98;After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.;Mathieu Kassovitz;Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, Solo, Joseph Momo, Héloïse Rauth;Prime Video
2906;https://www.movieofthenight.com/show/2906;JFK;https://image.tmdb.org/t/p/w1280/lGJxJQCiEeaoXAoQUvBcv6lRa7U.jpg;7,9;1991;Drama, History, Thriller;189;Follows the investigation into the assassination of President John F. Kennedy led by New Orleans district attorney Jim Garrison.;Oliver Stone;Kevin Costner, Tommy Lee Jones, Gary Oldman, Kevin Bacon, Michael Rooker, Jack Lemmon, Laurie Metcalf;"Disney+; Prime Video"
2943;https://www.movieofthenight.com/show/2943;The Father;https://image.tmdb.org/t/p/w1280/h3weAFgg06GqchI2xDfufBgSFTj.jpg;8,1;2020;Drama, Mystery;97;A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.;Florian Zeller;Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams, Imogen Poots, Rufus Sewell, Ayesha Dharker;Prime Video
2981;https://www.movieofthenight.com/show/2981;Blue Is the Warmest Color;https://image.tmdb.org/t/p/w1280/bEmPrq7Y4MubVATOCtOacY3eXQ5.jpg;7,4;2013;Drama, Romance;180;Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire, to assert herself as a woman and as an adult. In front of others, Adele grows, seeks herself, loses herself, finds herself.;Abdellatif Kechiche;Léa Seydoux, Adèle Exarchopoulos, Salim Kéchiouche, Aurélien Recoing, Catherine Salée, Benjamin Siksou, Mona Walravens;"Apple; Prime Video"
3026;https://www.movieofthenight.com/show/3026;In the Mood for Love;https://image.tmdb.org/t/p/w1280/ffQFnAUm2Uu4RU0nijpjPRf9TBT.jpg;8;2000;Drama, Romance;99;Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.;Wong Kar-Wai;Maggie Cheung, Tony Leung Chiu-wai, Siu Ping-Lam, Rebecca Pan, Kelly Lai Chen, Joe Cheung Tung-Cho, Chan Man-Lei;Prime Video
309;https://www.movieofthenight.com/show/309;Amélie;https://image.tmdb.org/t/p/w1280/6n53UI4mX9QMfe2S0Pgt8mGebY1.jpg;8,2;2001;Comedy, Romance;122;At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?;Jean-Pierre Jeunet;Audrey Tautou, Mathieu Kassovitz, Rufus, Serge Merlin, Jamel Debbouze, Clotilde Mollet, Claire Maurier;"Disney+; Prime Video"
311;https://www.movieofthenight.com/show/311;City of God;https://image.tmdb.org/t/p/w1280/uvitbjFU4JqvMwIkMWHp69bmUzG.jpg;8,5;2002;Crime, Drama;129;In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.;Fernando Meirelles;Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Matheus Nachtergaele, Seu Jorge;Prime Video
3363;https://www.movieofthenight.com/show/3363;Irreversible;https://image.tmdb.org/t/p/w1280/xV1EfNSEg6id6juJPr1vM6p9x5X.jpg;7,2;2002;Crime, Drama, Mystery;93;A woman’s lover and her ex-boyfriend take justice into their own hands after she becomes the victim of a rapist. Because some acts can’t be undone. Because man is an animal. Because the desire for vengeance is a natural impulse. Because most crimes remain unpunished.;Gaspar Noé;Monica Bellucci, Vincent Cassel, Albert Dupontel, Jo Prestia, Philippe Nahon, Stéphane Drouot, Jean-Louis Costes;Prime Video
3395;https://www.movieofthenight.com/show/3395;CODA;https://image.tmdb.org/t/p/w1280/v85FlkbMYKa5du1glm0YfYNsL2n.jpg;7,9;2021;Drama, Music;112;As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.;Sian Heder;Emilia Jones, Marlee Matlin, Troy Kotsur, Eugenio Derbez, Ferdia Walsh-Peelo, Daniel Durant, Amy Forsyth;"Apple; Prime Video"
3636;https://www.movieofthenight.com/show/3636;Ran;https://image.tmdb.org/t/p/w1280/gfR3GEClL7WrNpQOg8mcPhM8fx6.jpg;8,1;1985;Action, Drama, Epic, War;160;Shakespeare's King Lear is reimagined as a singular historical epic set in sixteenth-century Japan where an aging warlord divides his kingdom between his three sons.;Akira Kurosawa;Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryū, Mieko Harada, Yoshiko Miyazaki, Mansai Nomura;Prime Video
388;https://www.movieofthenight.com/show/388;Apocalypse Now;https://image.tmdb.org/t/p/w1280/eN5G8vTWLnZxJ0LTd4g27oPObcZ.jpg;8,3;1979;Drama, Epic, Mystery, War;147;"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.";Francis Ford Coppola;Martin Sheen, Marlon Brando, Frederic Forrest, Albert Hall, Laurence Fishburne, Sam Bottoms, Robert Duvall;Prime Video
394;https://www.movieofthenight.com/show/394;Now You See Me;https://image.tmdb.org/t/p/w1280/xEY0MV2jSQBz9iOJfCFvLTiPGMA.jpg;7,2;2013;Crime, Mystery, Thriller;116;An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.;Louis Leterrier;Jesse Eisenberg, Woody Harrelson, Isla Fisher, Dave Franco, Mark Ruffalo, Mélanie Laurent, Morgan Freeman;"Apple; Prime Video"
